기간	행정구역	직업유형	합계	남자	여자
2015	강북구	기능원 및 관련기능종사자	19,685	14,321	5,364
2015	강북구	장치기계조작 및 조립종사자	11,444	10,281	1,163
2015	강북구	단순노무종사자	19,421	11,725	7,696
2015	강북구	기타	94	88	6
2015	도봉구	소계	158,846	91,827	67,019
2015	도봉구	관리자	2,046	1,702	344
2015	도봉구	전문가 및 관련종사자	34,515	17,410	17,105
2015	도봉구	사무종사자	31,631	16,406	15,225
2015	도봉구	서비스종사자	17,210	7,179	10,031
2015	도봉구	판매종사자	26,766	14,149	12,617
2015	도봉구	농림어업 숙련 종사자	223	143	80
2015	도봉구	기능원 및 관련기능종사자	16,230	12,441	3,789
2015	도봉구	장치기계조작 및 조립종사자	13,852	12,359	1,493
2015	도봉구	단순노무종사자	16,279	9,952	6,327
2015	도봉구	기타	94	86	8
2015	노원구	소계	252,322	145,284	107,038
2015	노원구	관리자	3,882	3,203	679
2015	노원구	전문가 및 관련종사자	66,046	33,249	32,797
2015	노원구	사무종사자	56,480	31,409	25,071
2015	노원구	서비스종사자	26,348	11,710	14,638
2015	노원구	판매종사자	37,229	19,664	17,565
2015	노원구	농림어업 숙련 종사자	358	261	97
2015	노원구	기능원 및 관련기능종사자	19,176	14,998	4,178
2015	노원구	장치기계조작 및 조립종사자	17,408	15,913	1,495
2015	노원구	단순노무종사자	24,806	14,294	10,512
2015	노원구	기타	589	583	6
2015	은평구	소계	228,374	128,894	99,480
2015	은평구	관리자	3,432	2,685	747
2015	은평구	전문가 및 관련종사자	54,118	27,245	26,873
2015	은평구	사무종사자	48,496	24,802	23,694
2015	은평구	서비스종사자	26,749	10,581	16,168
2015	은평구	판매종사자	34,488	17,874	16,614
2015	은평구	농림어업 숙련 종사자	548	352	196
2015	은평구	기능원 및 관련기능종사자	20,526	16,524	4,002
2015	은평구	장치기계조작 및 조립종사자	16,027	14,438	1,589
2015	은평구	단순노무종사자	23,779	14,189	9,590
2015	은평구	기타	211	204	7
2015	서대문구	소계	142,557	78,875	63,682
2015	서대문구	관리자	2,024	1,605	419
2015	서대문구	전문가 및 관련종사자	36,422	18,173	18,249
2015	서대문구	사무종사자	32,710	17,117	15,593
2015	서대문구	서비스종사자	17,583	7,308	10,275
2015	서대문구	판매종사자	20,519	10,820	9,699
2015	서대문구	농림어업 숙련 종사자	126	95	31
2015	서대문구	기능원 및 관련기능종사자	10,715	8,504	2,211
2015	서대문구	장치기계조작 및 조립종사자	8,167	7,241	926
2015	서대문구	단순노무종사자	14,163	7,897	6,266
2015	서대문구	기타	128	115	13
2015	마포구	소계	187,115	102,186	84,929
2015	마포구	관리자	3,444	2,647	797
2015	마포구	전문가 및 관련종사자	56,881	29,543	27,338
2015	마포구	사무종사자	45,382	23,037	22,345
2015	마포구	서비스종사자	20,262	8,533	11,729
2015	마포구	판매종사자	24,623	12,717	11,906
2015	마포구	농림어업 숙련 종사자	193	96	97
2015	마포구	기능원 및 관련기능종사자	11,502	8,804	2,698
2015	마포구	장치기계조작 및 조립종사자	8,592	7,554	1,038
2015	마포구	단순노무종사자	16,097	9,134	6,963
2015	마포구	기타	139	121	18
2015	양천구	소계	219,117	127,733	91,384
2015	양천구	관리자	5,977	4,933	1,044
2015	양천구	전문가 및 관련종사자	61,154	32,733	28,421
2015	양천구	사무종사자	50,847	26,759	24,088
2015	양천구	서비스종사자	20,979	8,170	12,809
2015	양천구	판매종사자	28,642	16,095	12,547
2015	양천구	농림어업 숙련 종사자	267	180	87
2015	양천구	기능원 및 관련기능종사자	16,281	13,491	2,790
2015	양천구	장치기계조작 및 조립종사자	15,990	14,050	1,940
2015	양천구	단순노무종사자	18,641	10,988	7,653
2015	양천구	기타	339	334	5
2015	강서구	소계	280,164	159,043	121,121
2015	강서구	관리자	7,441	6,090	1,351
