기간	자치구	동	한식 음식점업	용달 및 개별 화물 자동차 운송업	부동산 중개 및 대리업	의복소매업	생맥주 전문점 및 기타 주점업	두발미용업	슈퍼마켓 및 기타 음·식료품 위주 종합 소매업	김밥 및 기타 간이 음식점 및 간이음식 포장 판매업	커피 전문점 및 기타 비알콜 음료점업	가정용 세탁업	노래연습장 운영업	체인화 편의점	치킨전문점	자동차 전문 수리업	채소 과실 및 뿌리작물 소매업	육류소매업	중식음식점업	당구장 운영업	제과점업	컴퓨터 게임방 운영업
2018	관악구	청룡동	146	62	93	75	59	68	21	32	46	26	23	35	21	5	9	11	12	10	9	10
2018	관악구	난곡동	37	146	26	10	13	45	28	20	6	17	8	17	12	8	6	7	4	3	6	7
2018	관악구	삼성동	57	134	33	26	18	29	22	12	6	19	5	7	7	7	23	12	4	2	2	1
2018	관악구	미성동	74	170	44	50	29	54	24	23	23	22	10	19	16	14	7	14	5	4	7	2
2018	서초구	소계	2,423	491	1,409	1,186	561	684	282	481	1,133	298	294	432	195	199	48	110	208	137	250	67
2018	서초구	서초1동	160	10	86	29	18	46	17	31	102	19	14	31	15	21	1	6	15	11	17	7
2018	서초구	서초2동	190	11	121	24	31	48	17	36	100	17	14	33	19	4	-	5	18	10	13	3
2018	서초구	서초3동	413	38	169	33	106	54	24	48	188	29	55	60	17	19	1	7	36	25	32	8
2018	서초구	서초4동	160	3	108	52	57	44	15	37	80	18	16	29	13	1	5	9	13	10	16	2
2018	서초구	잠원동	157	18	96	17	50	32	16	28	50	22	24	27	15	4	2	6	13	5	10	3
2018	서초구	반포본동	27	-	31	68	13	22	11	14	21	7	1	6	7	4	6	6	4	1	5	-
2018	서초구	반포1동	95	26	100	37	35	47	14	24	48	25	11	26	12	7	3	4	6	4	8	7
2018	서초구	반포2동	8	2	43	9	-	19	5	10	11	6	-	7	1	-	5	5	2	-	4	-
2018	서초구	반포3동	39	2	78	98	5	19	11	19	17	4	7	5	11	3	2	3	4	1	6	3
2018	서초구	반포4동	152	12	30	593	22	31	28	55	90	13	9	30	5	4	5	4	19	4	46	4
2018	서초구	방배본동	89	16	52	38	31	49	12	17	43	16	17	16	7	9	1	7	6	3	15	4
2018	서초구	방배1동	110	21	60	28	26	46	14	22	47	14	24	16	8	3	2	10	13	7	7	9
2018	서초구	방배2동	147	41	83	23	41	38	11	19	46	17	19	22	10	11	2	10	13	8	10	2
2018	서초구	방배3동	36	36	44	11	6	26	15	13	23	15	-	15	4	7	-	4	3	2	5	-
2018	서초구	방배4동	106	30	111	24	16	64	13	26	48	21	8	19	9	27	5	4	7	8	17	2
2018	서초구	양재1동	208	94	77	37	51	52	26	34	110	30	27	42	17	28	4	11	21	16	21	7
2018	서초구	양재2동	291	81	94	62	52	42	25	43	90	21	46	37	22	47	2	8	13	22	15	5
2018	서초구	내곡동	35	50	26	3	1	5	8	5	19	4	2	11	3	-	2	1	2	-	3	1
2018	강남구	소계	3,710	579	2,252	1,728	846	1,270	375	653	1,804	412	318	780	295	183	86	125	344	174	343	110
2018	강남구	신사동	222	20	65	268	75	94	13	41	139	17	22	38	16	3	4	8	30	7	34	5
2018	강남구	논현1동	300	30	141	78	110	107	24	41	115	38	36	62	18	8	10	18	23	13	12	10
2018	강남구	논현2동	318	18	106	66	72	71	22	54	145	29	19	57	15	16	1	5	27	12	30	6
2018	강남구	삼성1동	244	20	72	225	38	30	18	28	108	10	17	51	14	7	2	4	29	12	24	3
2018	강남구	삼성2동	151	22	171	30	40	63	17	30	82	24	9	51	17	13	4	6	14	7	19	3
2018	강남구	대치1동	47	2	88	21	4	28	10	23	25	9	6	18	10	2	1	7	3	2	12	5
2018	강남구	대치4동	232	16	156	62	49	85	19	54	122	24	28	50	25	10	5	6	26	14	25	8
2018	강남구	역삼1동	859	38	453	221	178	178	50	113	404	60	83	149	56	18	4	5	67	42	50	29
2018	강남구	역삼2동	172	18	174	27	12	37	23	23	110	27	10	42	16	8	6	7	20	10	11	6
2018	강남구	도곡1동	73	33	67	27	14	31	8	17	44	12	2	23	8	10	2	1	4	4	9	2
2018	강남구	도곡2동	78	1	72	35	23	25	13	13	43	12	11	20	4	8	2	5	12	5	13	2
2018	강남구	개포1동	8	29	19	3	-	9	4	2	4	4	-	2	-	1	2	1	1	-	-	-
2018	강남구	개포4동	92	51	48	22	14	30	7	19	32	14	14	24	10	27	2	4	7	9	6	4
2018	강남구	일원본동	15	10	38	7	3	25	13	7	11	12	-	9	2	1	4	3	1	-	6	1
2018	강남구	일원1동	79	57	22	10	27	28	13	14	21	11	21	11	9	11	7	6	4	7	3	8
2018	강남구	일원2동	27	12	30	13	5	10	5	8	9	7	-	5	2	-	-	3	4	-	3	1
2018	강남구	수서동	89	33	44	7	13	20	8	13	30	9	4	15	9	-	-	2	8	2	9	2
2018	강남구	세곡동	68	112	63	3	10	25	23	16	34	15	2	18	15	13	1	9	4	1	6	2
2018	강남구	압구정동	206	5	81	321	71	139	23	49	111	18	11	42	13	2	5	3	21	6	28	6
2018	강남구	청담동	187	12	115	147	48	148	17	38	100	26	6	49	12	10	5	8	20	5	27	2
2018	강남구	대치2동	198	21	139	129	26	60	36	39	100	24	9	36	16	12	14	10	17	11	13	4
2018	강남구	개포2동	45	19	88	6	14	27	9	11	15	10	8	8	8	3	5	4	2	5	3	1
2018	송파구	소계	2,588	2,809	1,631	1,644	798	1,119	367	598	1,048	401	553	488	320	236	110	196	194	148	274	104
2018	송파구	풍납1동	59	81	24	12	16	31	10	13	8	11	11	7	6	5	8	8	3	1	4	3
2018	송파구	풍납2동	47	63	43	21	15	32	13	12	22	20	11	13	15	6	3	5	3	2	4	4
2018	송파구	거여1동	43	91	22	10	14	33	7	11	17	9	13	11	6	7	6	7	3	6	2	4
2018	송파구	거여2동	41	87	34	8	15	27	9	9	11	14	11	8	9	4	3	8	2	3	5	4
2018	송파구	마천1동	68	186	45	12	30	37	15	13	10	13	10	12	5	5	3	10	2	5	2	3
2018	송파구	마천2동	84	171	30	51	28	44	19	16	17	12	11	8	10	6	9	16	6	5	8	3
2018	송파구	방이1동	108	44	34	27	24	40	6	16	50	13	16	17	7	12	-	2	6	6	12	1
2018	송파구	방이2동	237	82	79	28	113	46	14	34	59	22	59	33	22	14	6	9	24	20	12	9
2018	송파구	오륜동	14	3	22	68	2	12	9	7	11	5	-	6	3	2	2	2	2	-	4	1
2018	송파구	오금동	113	169	73	27	33	57	24	20	62	28	17	26	20	38	3	11	8	9	13	7
2018	송파구	송파1동	107	447	62	33	53	67	11	20	85	20	31	24	13	10	3	7	11	11	21	5
2018	송파구	송파2동	26	34	46	22	6	35	14	36	21	11	1	9	8	4	3	10	3	-	11	3
2018	송파구	석촌동	183	104	158	41	60	78	24	32	64	28	59	39	24	15	5	14	10	12	15	5
2018	송파구	삼전동	127	103	79	20	40	76	15	30	46	27	23	29	23	23	2	13	11	13	13	9
2018	송파구	가락본동	235	66	87	37	68	55	16	38	66	19	133	35	23	19	6	4	10	17	15	9
2018	송파구	가락1동	62	6	23	1	10	-	15	2	3	-	-	2	1	3	2	2	-	-	1	-
2018	송파구	가락2동	88	93	71	44	27	71	24	20	38	22	31	14	14	15	4	9	9	6	12	9
2018	송파구	문정1동	78	63	62	77	10	49	12	14	29	14	22	13	13	16	-	8	7	5	5	-
2018	송파구	문정2동	236	32	181	350	33	47	15	54	149	17	5	55	19	5	2	4	20	2	18	5
2018	송파구	장지동	66	147	57	6	26	44	15	14	29	16	14	18	14	11	2	10	6	5	7	3
2018	송파구	위례동	32	47	50	16	5	27	7	18	19	4	-	12	11	-	3	5	5	-	11	1
2018	송파구	잠실본동	312	48	93	43	153	88	16	52	73	29	72	44	34	14	17	7	16	16	18	14
2018	송파구	잠실4동	11	21	53	9	3	22	9	7	7	10	-	7	3	-	4	9	1	1	4	2
2018	송파구	잠실6동	136	578	38	206	10	34	15	45	85	9	3	21	8	1	4	2	18	3	19	-
2018	송파구	잠실7동	5	3	14	13	-	9	8	3	5	5	-	3	1	-	2	4	2	-	2	-
2018	송파구	잠실2동	25	15	63	52	1	28	9	20	18	9	-	11	4	-	5	7	-	-	12	-
2018	송파구	잠실3동	45	25	88	410	3	30	16	42	44	14	-	11	4	1	3	3	6	-	24	-
2018	강동구	소계	1,826	2,114	1,051	936	703	898	306	412	559	294	264	321	204	199	177	170	126	128	196	97
2018	강동구	강일동	33	176	29	3	4	24	9	11	10	14	3	16	7	4	-	5	2	2	10	4
2018	강동구	상일동	71	106	42	4	16	14	15	8	19	11	9	10	8	5	2	3	10	3	2	2
2018	강동구	명일1동	113	77	55	82	38	69	16	45	49	14	23	15	12	8	31	13	9	12	14	6
2018	강동구	명일2동	45	32	36	42	7	27	11	28	22	10	6	9	6	4	1	5	1	5	13	9
2018	강동구	고덕1동	30	84	54	8	15	27	9	11	15	12	3	8	6	5	4	4	3	2	9	1
2018	강동구	고덕2동	47	87	37	9	11	13	12	3	6	3	6	5	9	10	7	6	4	4	1	1
2018	강동구	암사2동	54	72	38	12	13	27	9	6	18	8	6	9	6	5	2	2	4	3	6	3
2018	강동구	암사3동	18	69	22	14	4	23	8	6	7	6	-	4	2	4	4	6	-	-	4	-
2018	강동구	천호1동	77	171	55	37	31	70	22	19	21	24	6	20	16	11	6	10	4	4	8	4
2018	강동구	천호3동	114	129	79	106	60	56	31	29	30	21	13	23	21	7	7	10	8	8	11	10
2018	강동구	성내1동	122	97	51	14	36	31	12	28	62	16	12	19	5	18	2	4	11	8	9	1
2018	강동구	성내2동	144	99	83	22	55	76	19	31	41	20	25	23	21	16	14	10	11	11	26	9
2018	강동구	성내3동	184	92	100	53	77	80	13	40	60	22	31	27	19	19	19	19	14	18	22	12
2018	강동구	둔촌1동	-	1	-	-	-	-	2	-	-	-	-	2	-	-	-	-	-	-	-	-
2018	강동구	둔촌2동	101	140	66	21	31	62	15	18	38	18	16	17	11	15	3	8	6	7	7	8
2018	강동구	암사1동	131	225	64	38	49	82	27	30	29	24	26	25	14	13	23	16	8	9	16	8
2018	강동구	천호2동	281	191	96	415	118	91	41	41	67	33	35	39	14	25	22	23	15	12	16	9
2018	강동구	길동	261	266	144	56	138	126	35	58	65	38	44	50	27	30	30	26	16	20	22	10
